"Received" "Accepted" "Published" "Public" "Citation" "Editor" "Subject"
"19" "2012-12-01" "2013-01-05" "2013-02-12" 1 "1" "DavidReser" "Neuroscience"
"20" "2012-11-20" "2013-01-08" "2013-02-19" 1 "1" "LinshengSong" "Aquaculture, Fisheries and Fish Science,Developmental Biology,Nutrition"
"21" "2012-11-20" "2013-01-08" "2013-02-12" 0 "2" "JosePalomo" "Biochemistry,Marine Biology,Zoology,Anatomy and Physiology"
"22" "2012-11-28" "2013-01-08" "2013-02-12" 1 "2" "DavidSolomon" "Science and Medical Education"
"23" "2012-12-01" "2013-01-09" "2013-02-19" 1 "3" "ValeriaSouza" "Ecosystem Science,Environmental Sciences,Genomics,Microbiology"
"24" "2012-11-28" "2013-01-10" "2013-02-19" 0 "1" "AndrewFarke" "Developmental Biology,Evolutionary Studies,Paleontology,Anatomy and Physiology"
"25" "2012-12-20" "2013-01-10" "2013-02-12" 0 "0" "ThomasVan Dyke" "Clinical Trials,Gynecology and Obstetrics,Nursing"
"26" "2012-11-14" "2013-01-11" "2013-02-12" 0 "2" "BarbaraBriggs" "Biodiversity,Developmental Biology,Evolutionary Studies,Plant Science"
"27" "2012-11-15" "2013-01-11" "2013-02-12" 0 "0" "LucianaLeite" "Biochemistry,Bioengineering,Biotechnology,Molecular Biology"
"28" "2012-11-15" "2013-01-11" "2013-02-12" 0 "0" "GregoryMartin" "Agricultural Science,Biotechnology,Genetics,Molecular Biology,Plant Science"
"29" "2012-11-25" "2013-01-11" "2013-02-12" 0 "4" "" "Molecular Biology,Anatomy and Physiology"
"30" "2012-11-28" "2013-01-15" "2013-02-12" 0 "0" "TatyanaPolenova" "Biophysics"
"31" "2012-11-21" "2013-01-15" "2013-02-12" 0 "0" "JohnGordon" "Cell Biology,Molecular Biology,Hematology,Immunology,Oncology"
"32" "2012-12-10" "2013-01-15" "2013-02-26" 1 "5" "SimonSilver" "Microbiology,Clinical Trials,Nutrition"
"33" "2012-11-13" "2013-01-16" "2013-02-12" 0 "1" "LinshengSong" "Aquaculture, Fisheries and Fish Science,Anatomy and Physiology"
"34" "2012-11-23" "2013-01-16" "2013-02-12" 1 "6" "ThomasLubberstedt" "Agricultural Science,Plant Science"
"35" "2012-11-21" "2013-01-18" "2013-02-19" 1 "1" "DavidMeyre" "Genetics,Medical Genetics,Pediatrics,Statistics"
"36" "2012-12-03" "2013-01-19" "2013-02-12" 1 "2" "JohnHutchinson" "Evolutionary Studies,Paleontology,Zoology"
"37" "2012-11-30" "2013-01-21" "2013-02-12" 0 "1" "EllenHodnett" "Anaesthesiology and Pain Management,Nursing,Pediatrics"
"38" "2012-12-01" "2013-01-22" "2013-02-19" 1 "2" "JafriAbdullah" "Psychiatry and Psychology"
"39" "2012-11-30" "2013-01-26" "2013-02-19" 1 "2" "C RobertCloninger" "Psychiatry and Psychology"
"40" "2012-11-30" "2013-01-28" "2013-02-19" 1 "0" "PascalDollé" "Histology,Anatomy and Physiology,Dermatology"
"41" "2012-11-13" "2013-01-28" "2013-02-19" 1 "1" "MichaelHuston" "Ecology,Ecosystem Science"
"42" "2012-12-04" "2013-01-28" "2013-02-26" 1 "2" "MarcoIacoboni" "Neuroscience,Cognitive Disorders,Psychiatry and Psychology"
"43" "2012-11-13" "2013-01-31" "2013-02-26" 1 "0" "MichaelLynskey" "Psychiatry and Psychology,Public Health"
"44" "2012-12-19" "2013-02-08" "2013-02-26" 1 "0" "MikhailGelfand" "Ecology,Evolutionary Studies"
"45" "2012-12-03" "2013-02-09" "2013-02-26" 1 "0" "JessicaKissinger" "Conservation Biology,Parasitology,Veterinary Medicine"
"46" "2012-12-04" "2013-02-11" "2013-02-26" 0 "3" "AnnalisaPastore" "Agricultural Science,Biochemistry,Bioengineering,Biotechnology,Molecular Biology"
"47" "2012-11-27" "2013-02-12" "2013-03-05" 1 "0" "StephenJohnson" "Conservation Biology,Ecology,Microbiology,Molecular Biology"
"48" "2013-01-03" "2013-02-19" "2013-03-05" 1 "2" "Lai-HuaXie" "Biochemistry,Cardiology"
"49" "2012-12-03" "2013-02-20" "2013-03-05" 0 "2" "AlfonsoValencia" "Bioinformatics,Cell Biology,Computational Biology,Genomics,Dermatology"
"50" "2013-01-07" "2013-02-20" "2013-03-05" 1 "2" "GerardLazo" "Evolutionary Studies,Genetics,Microbiology,Mycology,Virology"
"51" "2012-12-07" "2013-02-21" "2013-03-05" 0 "0" "AlexisVerger" "Biochemistry,Dentistry,Immunology"
"52" "2012-12-02" "2013-02-28" "2013-03-19" 1 "0" "ScottGrundy" "Diabetes and Endocrinology,Gynecology and Obstetrics"
"53" "2012-11-14" "2013-02-28" "2013-03-12" 1 "4" "FrederickCohan" "Biodiversity,Biogeography,Ecology,Microbiology,Dermatology"
"54" "2013-01-22" "2013-03-01" "2013-03-12" 1 "0" "VladimirUversky" "Agricultural Science,Bioinformatics,Veterinary Medicine"
"55" "2013-02-09" "2013-03-03" "2013-03-19" 1 "0" "JianhuaXu" "Agricultural Science,Ecosystem Science,Entomology,Global Health,Infectious Diseases"
"56" "2012-12-03" "2013-03-03" "2013-03-19" 0 "0" "MichaelWink" "Animal Behavior,Zoology"
"57" "2012-12-07" "2013-03-05" "2013-03-26" 1 "0" "M FabianaKubke" "Neuroscience,Anatomy and Physiology"
"58" "2012-11-15" "2013-03-06" "2013-04-02" 1 "1" "BillHooker" "Biotechnology,Parasitology,Immunology,Infectious Diseases"
"59" "2012-11-28" "2013-03-07" "2013-04-02" 1 "4" "EijiNambara" "Plant Science"
"60" "2012-11-13" "2013-03-10" "2013-03-26" 1 "1" "AndrewFarke" "Evolutionary Studies,Paleontology,Zoology"
"61" "2012-12-07" "2013-03-12" "2013-04-09" 1 "1" "TomasHökfelt" "Cell Biology,Neuroscience,Psychiatry and Psychology"
"62" "2013-02-20" "2013-03-14" "2013-04-02" 1 "3" "KeithCrandall" "Evolutionary Studies"
"63" "2013-02-22" "2013-03-18" "2013-04-09" 0 "1" "GerhardAndersson" "Psychiatry and Psychology"
"64" "2013-02-15" "2013-03-18" "2013-04-09" 1 "1" "KeithCrandall" "Conservation Biology,Zoology"
"65" "2013-02-19" "2013-03-20" "2013-04-09" 1 "3" "PhilipJones" "Anatomy and Physiology,Clinical Trials,Nutrition"
"66" "2013-01-23" "2013-03-20" "2013-04-16" 0 "3" "KeithCrandall" "Genetics,Psychiatry and Psychology"
"67" "2013-03-05" "2013-03-24" "2013-04-16" 1 "2" "FrederickLepore" "Cognitive Disorders,Neurology,Psychiatry and Psychology,Ethical Issues,Science and Medical Education"
"68" "2012-10-12" "2013-03-25" "2013-04-16" 1 "2" "JörgHoheisel" "Genetics,Molecular Biology,Oncology"
"69" "2013-01-10" "2013-03-26" "2013-04-30" 1 "1" "ChristopheDessimoz" "Environmental Sciences,Genomics,Microbiology"
"70" "2013-01-31" "2013-03-26" "2013-04-23" 1 "1" "ChristopheDessimoz" "Biodiversity,Biogeography,Evolutionary Studies,Taxonomy"
"71" "2012-11-13" "2013-04-02" "2013-04-23" 1 "5" "CoenRitsema" "Agricultural Science,Environmental Sciences,Soil Science"
"72" "2013-03-01" "2013-04-13" "2013-05-14" 1 "0" "YuLiu" "Agricultural Science,Biotechnology,Food Science and Technology"
"73" "2012-11-22" "2013-04-22" "2013-05-07" 1 "0" "ReinhardSchweitzer-Stenner" "Biochemistry,Biophysics,Neuroscience,Cognitive Disorders"
"74" "2013-04-03" "2013-04-24" "2013-05-07" 1 "2" "YongWang" "Bioinformatics,Computational Biology,Evolutionary Studies,Drugs and Devices,Infectious Diseases"
"75" "2013-01-16" "2013-04-25" "2013-05-28" 1 "0" "OfferErez" "Health Policy,Pediatrics,Public Health,Child Health"
"76" "2013-03-21" "2013-05-01" "2013-05-14" 0 "1" "JafriAbdullah" "Neuroscience,Science and Medical Education"
"77" "2013-03-05" "2013-05-01" "2013-05-28" 1 "0" "DavidRoberts" "Biodiversity,Biogeography,Computational Biology,Environmental Sciences,Plant Science"
"78" "2013-02-28" "2013-05-02" "2013-05-21" 1 "0" "FrancescCalafell" "Computational Biology,Evolutionary Studies,Genomics"
"79" "2013-03-27" "2013-05-02" "2013-05-21" 1 "1" "PhilipJones" "Emergency and Critical Care,Epidemiology,Infectious Diseases,Pediatrics"
"80" "2013-03-20" "2013-05-06" "2013-05-21" 1 "2" "EmanuelePaci" "Biochemistry,Biophysics,Computational Biology,Computational Science"
"81" "2013-04-22" "2013-05-12" "2013-05-28" 1 "3" "JohnBruno" "Ecology,Marine Biology"
"82" "2013-03-04" "2013-05-14" "2013-06-04" 1 "0" "MandeepMehra" "Bioinformatics,Evidence Based Medicine,Gynecology and Obstetrics,Statistics"
"83" "2013-04-11" "2013-05-15" "2013-06-04" 0 "1" "LesleyRogers" "Animal Behavior,Ecology,Zoology"
"84" "2013-03-27" "2013-05-17" "2013-06-04" 1 "0" "NicolaDecaro" "Virology,HIV"
"85" "2013-04-04" "2013-05-21" "2013-06-11" 1 "0" "YonghongPeng" "Bioinformatics,Computational Biology,Virology,Infectious Diseases,Computational Science"
"86" "2013-02-18" "2013-05-23" "2013-06-11" 1 "2" "ChristopheDessimoz" "Evolutionary Studies,Genetics,Zoology"
"87" "2013-01-30" "2013-05-27" "2013-06-11" 0 "2" "AkioInui" "Diabetes and Endocrinology,Epidemiology"
"88" "2013-03-27" "2013-05-27" "2013-07-02" 0 "0" "MarcoIacoboni" "Neuroscience"
"89" "2012-11-30" "2013-05-28" "2013-06-25" 0 "0" "KeithCrandall" "Bioinformatics,Computational Biology,Evolutionary Studies"
"90" "2013-03-29" "2013-05-29" "2013-06-18" 1 "2" "TomasPerez-Acle" "Global Health,HIV,Infectious Diseases,Public Health"
"91" "2013-04-05" "2013-06-01" "2013-07-02" 1 "1" "PraveenArany" "Pathology"
"92" "2013-02-11" "2013-06-03" "2013-06-18" 1 "0" "YohIwasa" "Biodiversity,Ecology,Mathematical Biology,Parasitology,Zoology"
"93" "2012-12-05" "2013-06-04" "2013-06-25" 1 "2" "RichardCowling" "Biodiversity,Ecology,Evolutionary Studies,Plant Science"
"94" "2013-04-23" "2013-06-04" "2013-07-02" 0 "1" "Josep A.Tur" "Nutrition,Public Health"
"95" "2013-05-06" "2013-06-07" "2013-07-09" 1 "1" "JianhuaXu" "Ecology,Statistics"
"96" "2013-04-12" "2013-06-07" "2013-06-25" 1 "0" "JackStanford" "Animal Behavior,Aquaculture, Fisheries and Fish Science,Ecology,Ecosystem Science,Marine Biology"
"97" "2013-04-30" "2013-06-10" "2013-06-25" 0 "3" "ValeriaSouza" "Biodiversity,Microbiology,Infectious Diseases"
"98" "2013-05-27" "2013-06-14" "2013-07-09" 1 "4" "C. RobertCloninger" "Epidemiology,Psychiatry and Psychology,Public Health"
"99" "2013-05-02" "2013-06-17" "2013-07-16" 1 "0" "LuisConceição" "Aquaculture, Fisheries and Fish Science"
"100" "2013-02-13" "2013-06-18" "2013-07-09" 0 "1" "NigelAndrew" "Biodiversity,Ecology,Entomology,Zoology"
"101" "2013-05-23" "2013-06-21" "2013-07-09" 1 "0" "EugenePermyakov" "Biochemistry,Biophysics,Microbiology,Molecular Biology,Infectious Diseases"
"102" "2013-05-26" "2013-06-21" "2013-07-09" 1 "5" "GaryCollins" "Clinical Trials,Evidence Based Medicine,Psychiatry and Psychology"
"103" "2013-05-07" "2013-06-22" "2013-07-16" 1 "1" "XiaoleiHuang" "Animal Behavior,Biodiversity,Conservation Biology,Human-Computer Interaction"
"104" "2013-02-08" "2013-06-23" "2013-07-23" 0 "0" "IanHickson" "Cell Biology,Molecular Biology,Oncology"
"105" "2013-05-17" "2013-06-25" "2013-07-16" 1 "0" "JohnHutchinson" "Biophysics,Computational Biology,Mathematical Biology,Zoology,Computational Science"
"106" "2013-04-30" "2013-06-25" "2013-07-16" 1 "2" "FabianoThompson" "Ecology,Marine Biology"
"107" "2013-04-29" "2013-06-29" "2013-07-16" 1 "1" "JohnBruno" "Ecology,Marine Biology,Microbiology"
"108" "2013-05-01" "2013-06-30" "2013-07-16" 1 "3" "MónicaMedina" "Ecology,Marine Biology,Microbiology"
"109" "2013-04-10" "2013-07-02" "2013-07-25" 1 "0" "StephenHawkins" "Ecology,Marine Biology"
"110" "2012-11-16" "2013-07-02" "2013-07-25" 1 "0" "GeorgeBentley" "Animal Behavior,Neuroscience"
"111" "2013-05-22" "2013-07-03" "2013-07-23" 1 "0" "FreddieSalsbury Jr" "Biochemistry,Bioengineering,Biotechnology,Computational Biology,Computational Science"
"112" "2013-05-08" "2013-07-03" "2013-07-23" 0 "0" "ChristineNicol" "Animal Behavior,Zoology"
"113" "2013-04-30" "2013-07-03" "2013-07-23" 1 "3" "GerardLazo" "Bioinformatics,Computational Biology,Genomics,Computational Science"
"114" "2013-05-30" "2013-07-04" "2013-08-06" 1 "0" "Benjamin J.Whalley" "Clinical Trials,Drugs and Devices,Evidence Based Medicine,Neurology"
"115" "2013-05-27" "2013-07-04" "2013-07-25" 1 "0" "AndrewWeightman" "Environmental Sciences,Genomics,Microbiology"
"116" "2013-05-15" "2013-07-05" "2013-07-25" 1 "0" "BrendaOppert" "Agricultural Science,Entomology"
"117" "2013-05-01" "2013-07-08" "2013-08-01" 1 "1" "DavidReser" "Neuroscience,Neurology,Pharmacology,Psychiatry and Psychology,Radiology and Medical Imaging"
"118" "2013-06-05" "2013-07-10" "2013-07-30" 1 "0" "FreddieSalsbury Jr" "Biochemistry,Bioinformatics,Genetics,Genomics,Parasitology"
"119" "2013-05-29" "2013-07-10" "2013-08-01" 1 "2" "JoaoRocha" "Neuroscience"
"120" "2013-06-19" "2013-07-10" "2013-08-01" 1 "0" "PaulAppelbaum" "Medical Genetics,Public Health,Ethical Issues,Legal Issues,Science Policy"
"121" "2013-05-01" "2013-07-12" "2013-08-01" 1 "1" "MarcoIacoboni" "Neuroscience,Neurology,Psychiatry and Psychology"
"122" "2013-03-20" "2013-07-12" "2013-08-08" 1 "1" "PaulaMoreira" "Toxicology,Oncology,Pharmacology"
"123" "2013-05-27" "2013-07-15" "2013-08-01" 0 "0" "GaryCollins" "Epidemiology,Evidence Based Medicine,Science and Medical Education,Statistics"
"124" "2013-05-11" "2013-07-17" "2013-08-06" 1 "1" "JohnHutchinson" "Evolutionary Studies,Paleontology,Zoology,Statistics"
"125" "2013-05-06" "2013-07-18" "2013-08-13" 1 "1" "JosepTur" "Epidemiology,Global Health,Pediatrics,Psychiatry and Psychology,Public Health"
"126" "2013-05-31" "2013-07-18" "2013-08-08" 1 "0" "LennartMartens" "Bioinformatics"
"127" "2013-04-27" "2013-07-18" "2013-08-29" 1 "0" "ChristopheDessimoz" "Bioinformatics,Computational Biology,Genomics,Mathematical Biology,Molecular Biology"
"128" "2013-06-19" "2013-07-21" "2013-08-13" 0 "2" "JenniferWagner" "Ethical Issues,Science and Medical Education,Science Policy"
"129" "2013-04-21" "2013-07-21" "2013-08-13" 1 "1" "Natashade Vere" "Aquaculture, Fisheries and Fish Science,Conservation Biology,Ecology,Marine Biology,Molecular Biology"
"130" "2013-05-31" "2013-07-21" "2013-08-08" 1 "0" "DezeneHuber" "Animal Behavior,Entomology"
"131" "2013-06-27" "2013-07-25" "2013-08-29" 1 "1" "MartinPoenie" "Cell Biology,Immunology"
"132" "2013-06-03" "2013-07-26" "2013-08-13" 1 "2" "Pei-YuanQian" "Biodiversity,Ecology,Marine Biology,Molecular Biology,Taxonomy"
"133" "2013-05-30" "2013-07-29" "2013-08-15" 1 "0" "KeithCrandall" "Bioinformatics,Genomics"
"134" "2013-04-14" "2013-07-29" "2013-08-20" 1 "1" "TokukoHaraguchi" "Biochemistry,Cell Biology,Molecular Biology"
"135" "2013-05-08" "2013-07-29" "2013-08-20" 0 "1" "JafriAbdullah" "Neurology"
"136" "2013-04-25" "2013-07-30" "2013-08-22" 1 "0" "YohIwasa" "Biodiversity,Ecology,Mathematical Biology"
"137" "2013-07-01" "2013-07-30" "2013-09-17" 0 "0" "PraveenArany" "Dentistry"
"138" "2013-06-18" "2013-07-30" "2013-08-22" 1 "0" "DezeneHuber" "Biodiversity,Ecology,Entomology"
"139" "2012-11-29" "2013-07-31" "2013-08-15" 0 "3" "GabrieleSorci" "Ecology,Zoology,Diabetes and Endocrinology"
"140" "2013-06-17" "2013-07-31" "2013-08-27" 1 "1" "MariaServedio" "Animal Behavior,Aquaculture, Fisheries and Fish Science,Biodiversity,Ecology,Evolutionary Studies"
"141" "2013-05-17" "2013-08-01" "2013-08-27" 0 "0" "VladimirUversky" "Biophysics,Diabetes and Endocrinology,Metabolic Sciences,Nutrition,Pediatrics"
"142" "2012-11-27" "2013-08-04" "2013-08-29" 1 "0" "M FabianaKubke" "Developmental Biology"
"143" "2013-06-24" "2013-08-05" "2013-08-27" 1 "0" "RebeccaBerdeaux" "Biochemistry,Toxicology,Pharmacology"
"144" "2013-06-26" "2013-08-06" "2013-09-12" 1 "1" "SantoshPatnaik" "Molecular Biology,Oncology"
"145" "2013-07-16" "2013-08-06" "2013-08-29" 1 "0" "VladimirUversky" "Biochemistry,Biotechnology,Computational Biology"
"146" "2012-11-30" "2013-08-06" "2013-09-05" 0 "0" "JafriAbdullah" "Neuroscience"
"147" "2012-12-06" "2013-08-06" "2013-09-12" 1 "1" "FredMuench" "Epidemiology,Evidence Based Medicine,Public Health,Human-Computer Interaction"
"148" "2013-06-02" "2013-08-12" "2013-09-05" 1 "4" "JafriAbdullah" "Cell Biology,Developmental Biology,Neuroscience,Immunology,Science Policy"
"149" "2013-06-25" "2013-08-14" "2013-09-10" 1 "0" "JoaoRocha" "Biochemistry,Neuroscience,Pharmacology"
"150" "2013-04-29" "2013-08-14" "2013-09-12" 0 "0" "DanyGarant" "Animal Behavior,Neuroscience"
"151" "2013-07-16" "2013-08-14" "2013-09-03" 1 "1" "RobertToonen" "Ecology,Marine Biology"
"152" "2013-06-13" "2013-08-14" "2013-09-10" 1 "0" "HowardYoung" "Bioinformatics,Genetics,Molecular Biology,Hematology,Immunology"
"153" "2013-05-27" "2013-08-15" "2013-09-12" 1 "0" "MariaDeli" "Gynecology and Obstetrics,Pharmacology"
"154" "2013-07-16" "2013-08-18" "2013-09-19" 1 "0" "JohnBruno" "Ecology,Marine Biology"
"155" "2013-06-19" "2013-08-18" "2013-09-19" 1 "0" "MikhailGelfand" "Bioinformatics,Health Policy,Radiology and Medical Imaging,Ethical Issues"
"156" "2013-07-19" "2013-08-18" "2013-09-10" 1 "5" "ZiadKronfol" "Psychiatry and Psychology,Public Health"
"157" "2013-05-01" "2013-08-20" "2013-09-12" 1 "1" "LudmilaChistoserdova" "Biodiversity,Bioinformatics,Ecology,Microbiology,Statistics"
"158" "2013-07-22" "2013-08-21" "2013-09-10" 1 "0" "LesleyRogers" "Animal Behavior,Developmental Biology,Evolutionary Studies"
"159" "2013-06-13" "2013-08-22" "2013-09-12" 1 "0" "RichardEmes" "Bioinformatics,Computational Biology,Genomics"
"160" "2013-08-01" "2013-08-23" "2013-09-12" 1 "0" "WilliamJungers" "Bioengineering,Evolutionary Studies,Zoology"
"161" "2013-07-30" "2013-08-27" "2013-09-19" 1 "0" "MarcoIacoboni" "Neurology,Psychiatry and Psychology"
"162" "2013-08-13" "2013-08-27" "2013-09-24" 0 "2" "G. WilliamWong" "Genomics,Diabetes and Endocrinology"
"163" "2013-05-10" "2013-08-28" "2013-09-17" 1 "1" "GabrieleSorci" "Conservation Biology,Ecology,Environmental Sciences,Evolutionary Studies,Toxicology"
"164" "2013-05-26" "2013-08-29" "2013-09-17" 1 "0" "HarryHochheiser" "Internal Medicine,Human-Computer Interaction,Science and Medical Education"
"165" "2013-05-29" "2013-08-29" "2013-09-17" 0 "2" "ChristineNicol" "Animal Behavior,Zoology"
"166" "2013-07-29" "2013-08-29" "2013-09-26" 0 "0" "MichaelWink" "Biogeography,Evolutionary Studies,Genetics,Zoology"
"167" "2013-07-17" "2013-08-30" "2013-09-17" 1 "0" "GerardLazo" "Agricultural Science,Bioinformatics,Computational Biology,Genomics,Molecular Biology"
"168" "2013-05-31" "2013-08-31" "2013-09-17" 0 "0" "PhilipJones" "Drugs and Devices,Epidemiology,Geriatrics,Psychiatry and Psychology"
"169" "2013-07-23" "2013-08-31" "2013-09-17" 1 "0" "MichaelSomers" "Animal Behavior,Conservation Biology,Ecology,Entomology,Evolutionary Studies"
"170" "2013-06-20" "2013-09-05" "2013-10-01" 1 "0" "AndrewFarke" "Paleontology,Taxonomy,Zoology"
"171" "2013-08-15" "2013-09-06" "2013-10-03" 0 "11" "UgoBastolla" "Bioinformatics,Computational Biology,Genetics,Genomics,Molecular Biology"
"172" "2013-07-31" "2013-09-07" "2013-09-24" 0 "0" "SarahBrosnan" "Animal Behavior,Zoology"
"173" "2013-07-25" "2013-09-09" "2013-09-26" 1 "0" "NathanSanders" "Animal Behavior,Ecology,Entomology"
"174" "2013-05-31" "2013-09-12" "2013-10-01" 1 "1" "AllaKostyukova" "Biochemistry,Plant Science,Pharmacology"
"175" "2013-04-04" "2013-09-13" "2013-10-01" 1 "5" "XiaoleiHuang" "Bioinformatics,Science Policy"
"176" "2013-06-03" "2013-09-13" "2013-10-08" 1 "0" "ValeriaSouza" "Microbiology,Epidemiology,Global Health,Infectious Diseases,Public Health"
"177" "2013-06-12" "2013-09-16" "2013-10-03" 1 "0" "PaulAppelbaum" "Genomics,Neurology,Psychiatry and Psychology,Translational Medicine,Ethical Issues"
"178" "2013-07-19" "2013-09-16" "2013-10-03" 1 "2" "KevinBlack" "Clinical Trials,Psychiatry and Psychology"
"179" "2013-08-01" "2013-09-18" "2013-10-08" 1 "1" "DavidRoberts" "Biodiversity,Conservation Biology,Ecology,Ecosystem Science,Zoology"
"180" "2012-12-04" "2013-09-18" "2013-10-08" 1 "0" "SilviaMoreno" "Cell Biology,Parasitology"
"181" "2013-08-19" "2013-09-26" "2013-10-15" 1 "0" "AllaKostyukova" "Biochemistry,Biophysics,Molecular Biology"
"182" "2013-04-26" "2013-09-29" "2013-10-22" 1 "1" "JohnHutchinson" "Evolutionary Studies,Paleontology,Zoology"
"183" "2013-09-09" "2013-10-01" "2013-10-22" 1 "1" "StephenJohnson" "Agricultural Science,Soil Science,Science Policy"
"184" "2013-07-30" "2013-10-01" "2013-10-22" 1 "1" "Pei-YuanQian" "Ecology,Environmental Sciences,Marine Biology"
"185" "2013-06-07" "2013-10-02" "2013-10-22" 1 "0" "TomasPerez-Acle" "Biophysics,Computational Biology,Mathematical Biology,Computational Science"
"186" "2013-08-28" "2013-10-02" "2013-10-22" 1 "0" "JimCaunt" "Cell Biology,Immunology"
"187" "2013-07-30" "2013-10-04" "2013-10-22" 1 "0" "JonathanEisen" "Bioinformatics,Evolutionary Studies,Computational Science"
"188" "2013-07-18" "2013-10-08" "2013-10-24" 1 "0" "GavinStewart" "Agricultural Science,Conservation Biology,Ecology,Environmental Sciences,Coupled Natural and Human Systems"
"189" "2013-07-30" "2013-10-08" "2013-10-24" 1 "0" "GavinStewart" "Biodiversity,Conservation Biology,Ecology"
"190" "2013-08-28" "2013-10-08" "2013-10-29" 1 "0" "KeithCrandall" "Biodiversity,Bioinformatics,Evolutionary Studies,Taxonomy,Zoology"
"191" "2013-06-12" "2013-10-08" "2013-10-29" 1 "0" "WilliamJungers" "Paleontology"
"192" "2013-06-25" "2013-10-08" "2013-10-29" 1 "0" "DesmondTobin" "Biochemistry,Cell Biology"
"193" "2013-07-24" "2013-10-08" "2013-11-07" 1 "0" "JeanBousquet" "Allergy and Clinical Immunology,Epidemiology,Public Health"
"194" "2013-07-19" "2013-10-08" "2013-10-29" 1 "0" "Pei-YuanQian" "Ecology,Marine Biology"
"195" "2013-06-02" "2013-10-10" "2013-10-29" 1 "0" "JafriAbdullah" "Neuroscience,Diabetes and Endocrinology,Pharmacology,Radiology and Medical Imaging"
"196" "2013-09-09" "2013-10-10" "2013-10-31" 1 "0" "KentaNakai" "Bioinformatics,Computational Biology,Genomics"
"197" "2013-09-05" "2013-10-10" "2013-11-05" 1 "2" "TimothyMoss" "Psychiatry and Psychology,Public Health"
"198" "2013-09-23" "2013-10-10" "2013-10-31" 1 "0" "VladimirUversky" "Computational Biology,Computational Science"
"199" "2013-09-13" "2013-10-10" "2013-10-31" 1 "1" "KentaNakai" "Bioinformatics,Computational Biology,Genomics"
"200" "2013-07-25" "2013-10-12" "2013-11-07" 1 "1" "XiaoleiHuang" "Biogeography,Ecology,Evolutionary Studies"
"201" "2013-09-06" "2013-10-13" "2013-11-05" 1 "0" "KentaNakai" "Bioinformatics,Cell Biology,Computational Biology,Genetics,Oncology"
"202" "2013-09-23" "2013-10-13" "2013-11-05" 1 "0" "KentaNakai" "Bioinformatics"
"203" "2013-07-16" "2013-10-13" "2013-11-19" 1 "2" "MónicaMedina" "Genetics,Genomics,Marine Biology,Molecular Biology"
"204" "2013-07-16" "2013-10-14" "2013-11-05" 0 "0" "JohnHutchinson" "Bioengineering,Computational Biology,Paleontology,Zoology,Anatomy and Physiology"
"205" "2013-06-22" "2013-10-16" "2013-11-05" 0 "0" "GabrieleSorci" "Entomology,Evolutionary Studies,Zoology"
"206" "2013-07-30" "2013-10-21" "2013-11-12" 1 "1" "MichaelWink" "Biogeography,Ecology,Evolutionary Studies,Genetics,Zoology"
"207" "2013-09-05" "2013-10-21" "2013-11-12" 1 "1" "KentaNakai" "Bioinformatics,Evolutionary Studies,Genomics,Parasitology,Zoology"
